element;article;symbole;numero_atomique;masse_atomique_u;categorie;groupe;periode;etat;electronegativite;point_fusion_c;point_ebullition_c;masse_volumique_g_cm3;annee_decouverte;configuration_electronique;etats_oxydation
Tungstène;le;W;74;183.84;métal de transition;6;6;solide;2.36;3421.85;5554.85;19.3;1783;[Xe]6s2 4f14 5d4;+6
Rhénium;le;Re;75;186.207;métal de transition;7;6;solide;1.9;3185.85;5595.85;20.8;1925;[Xe]6s2 4f14 5d5;+7|+6|+4
Osmium;l';Os;76;190.2;métal de transition;8;6;solide;2.2;3032.85;5011.85;22.57;1803;[Xe]6s2 4f14 5d6;+4|+3
Iridium;l';Ir;77;192.22;métal de transition;9;6;solide;2.2;2445.85;4427.85;22.42;1803;[Xe]6s2 4f14 5d7;+4|+3
Platine;le;Pt;78;195.08;métal de transition;10;6;solide;2.28;1768.4;3824.85;21.46;1735;[Xe]6s1 4f14 5d9;+4|+2
Or;l';Au;79;196.96657;métal de transition;11;6;solide;2.54;1064.18;2855.85;19.282;;[Xe]6s1 4f14 5d10;+3|+1
Mercure;le;Hg;80;200.59;métal de transition;12;6;liquide;2;-38.83;356.73;13.5336;;[Xe]6s2 4f14 5d10;+2|+1
Thallium;le;Tl;81;204.383;métal pauvre;13;6;solide;1.62;303.85;1472.85;11.8;1861;[Xe]6s2 4f14 5d10 6p1;+3|+1
Plomb;le;Pb;82;207.2;métal pauvre;14;6;solide;2.33;327.46;1748.85;11.342;;[Xe]6s2 4f14 5d10 6p2;+4|+2
Bismuth;le;Bi;83;208.9804;métal pauvre;15;6;solide;2.02;271.4;1563.85;9.807;1753;[Xe]6s2 4f14 5d10 6p3;+5|+3
Polonium;le;Po;84;208.98243;métalloïde;16;6;solide;2;253.85;961.85;9.32;1898;[Xe]6s2 4f14 5d10 6p4;+4|+2
Astate;l';At;85;209.98715;halogène;17;6;solide;2.2;301.85;;7;1940;[Xe]6s2 4f14 5d10 6p5;+7|+5|+3|+1|-1
Radon;le;Rn;86;222.01758;gaz noble;18;6;gaz;;-71.15;-61.7;;1900;[Xe]6s2 4f14 5d10 6p6;0
Francium;le;Fr;87;223.01973;métal alcalin;1;7;solide;0.7;26.85;;;1939;[Rn]7s1;+1
Radium;le;Ra;88;226.02541;métal alcalino-terreux;2;7;solide;0.9;699.85;1139.85;5;1898;[Rn]7s2;+2
Actinium;l';Ac;89;227.02775;actinide;;7;solide;1.1;1050.85;3197.85;10.07;1899;[Rn]7s2 6d1;+3
Thorium;le;Th;90;232.038;actinide;;7;solide;1.3;1749.85;4787.85;11.72;1828;[Rn]7s2 6d2;+4
Protactinium;le;Pa;91;231.03588;actinide;;7;solide;1.5;1571.85;;15.37;1913;[Rn]7s2 5f2 6d1;+5|+4
Uranium;l';U;92;238.0289;actinide;;7;solide;1.38;1134.85;4130.85;18.95;1789;[Rn]7s2 5f3 6d1;+6|+5|+4|+3
Neptunium;le;Np;93;237.048172;actinide;;7;solide;1.36;643.85;3901.85;20.25;1940;[Rn]7s2 5f4 6d1;+6|+5|+4|+3
Plutonium;le;Pu;94;244.0642;actinide;;7;solide;1.28;639.85;3227.85;19.84;1940;[Rn]7s2 5f6;+6|+5|+4|+3
Américium;l';Am;95;243.06138;actinide;;7;solide;1.3;1175.85;2010.85;13.69;1944;[Rn]7s2 5f7;+6|+5|+4|+3
Curium;le;Cm;96;247.07035;actinide;;7;solide;1.3;1344.85;3126.85;13.51;1944;[Rn]7s2 5f7 6d1;+3
Berkélium;le;Bk;97;247.07031;actinide;;7;solide;1.3;1049.85;;14;1949;[Rn]7s2 5f9;+4|+3
Californium;le;Cf;98;251.07959;actinide;;7;solide;1.3;899.85;;;1950;[Rn]7s2 5f10;+3
Einsteinium;l';Es;99;252.083;actinide;;7;solide;1.3;859.85;;;1952;[Rn]7s2 5f11;+3
Fermium;le;Fm;100;257.09511;actinide;;7;solide;1.3;1526.85;;;1952;[Rn]5f12 7s2;+3
Mendélévium;le;Md;101;258.09843;actinide;;7;solide;1.3;826.85;;;1955;[Rn]7s2 5f13;+3|+2
Nobélium;le;No;102;259.101;actinide;;7;solide;1.3;826.85;;;1957;[Rn]7s2 5f14;+3|+2
Lawrencium;le;Lr;103;266.12;actinide;;7;solide;1.3;1626.85;;;1961;[Rn]7s2 5f14 6d1;+3
Rutherfordium;le;Rf;104;267.122;métal de transition;4;7;solide;;;;;1964;[Rn]7s2 5f14 6d2;+4
Dubnium;le;Db;105;268.126;métal de transition;5;7;solide;;;;;1967;[Rn]7s2 5f14 6d3;+5|+4|+3
Seaborgium;le;Sg;106;269.128;métal de transition;6;7;solide;;;;;1974;[Rn]7s2 5f14 6d4;+6|+5|+4|+3|0
Bohrium;le;Bh;107;270.133;métal de transition;7;7;solide;;;;;1976;[Rn]7s2 5f14 6d5;+7|+5|+4|+3
Hassium;l';Hs;108;269.1336;métal de transition;8;7;solide;;;;;1984;[Rn]7s2 5f14 6d6;+8|+6|+5|+4|+3|+2
Meitnérium;le;Mt;109;277.154;métal de transition;9;7;solide;;;;;1982;[Rn]7s2 5f14 6d7;+9|+8|+6|+4|+3|+1
Darmstadtium;le;Ds;110;282.166;métal de transition;10;7;;;;;;1994;[Rn]7s2 5f14 6d8;+8|+6|+4|+2|0
Roentgenium;le;Rg;111;282.169;métal de transition;11;7;;;;;;1994;[Rn]7s2 5f14 6d9;+5|+3|+1|-1
Copernicium;le;Cn;112;286.179;métal de transition;12;7;;;;;;1996;[Rn]7s2 5f14 6d10;+2|+1|0
Nihonium;le;Nh;113;286.182;métal pauvre;13;7;;;;;;2004;[Rn]5f14 6d10 7s2 7p1;
Flérovium;le;Fl;114;290.192;métal pauvre;14;7;;;;;;1998;[Rn]7s2 7p2 5f14 6d10;+6|+4|+2|+1|0
Moscovium;le;Mc;115;290.196;métal pauvre;15;7;;;;;;2003;[Rn]7s2 7p3 5f14 6d10;+3|+1
Livermorium;le;Lv;116;293.205;métal pauvre;16;7;;;;;;2000;[Rn]7s2 7p4 5f14 6d10;+4|+2|-2
Tennesse;le;Ts;117;294.211;halogène;17;7;;;;;;2010;[Rn]7s2 7p5 5f14 6d10;+5|+3|+1|-1
Oganesson;l';Og;118;295.216;gaz noble;18;7;;;;;;2006;[Rn]7s2 7p6 5f14 6d10;+6|+4|+2|+1|0|-1
